MeterID,Zone,ConsumerType,Date,EnergyConsumed_kWh,PeakUsage_kWh,OutageMinutes,MeterStatus,TariffRate
MTR00027,South,Residential,2025-03-25,1176.6,87.64,235,Faulty,3.95
MTR00028,East,Residential,2025-10-07,899.44,74.2,77,Faulty,4.96
MTR00029,West,Residential,2025-02-17,1136.52,123.84,111,Active,7.88
MTR00030,Central,Commercial,2025-08-19,66.64,53.47,103,Active,4.31
MTR00031,Central,Residential,2025-03-05,833.17,132.54,249,Active,8.62
MTR00032,West,Commercial,2025-07-30,746.53,81.41,82,Faulty,12.35
MTR00033,West,Residential,2025-06-12,521.19,13.06,144,Active,12.49
MTR00034,South,Residential,2025-10-18,861.2,126.92,115,Active,11.01
MTR00035,Central,Commercial,2025-06-10,723.53,127.62,1,Faulty,5.77
MTR00036,Central,Commercial,2025-05-26,734.42,99.67,23,Active,4.53
MTR00037,Central,Residential,2025-11-19,243.93,149.38,52,Faulty,4.99
MTR00038,Central,Industrial,2025-09-06,1093.55,67.41,219,Faulty,4.82
MTR00039,South,Commercial,2025-08-07,617.64,39.08,76,Faulty,11.02
MTR00040,North,Commercial,2025-06-19,849.11,60.56,259,Faulty,9.0
MTR00041,Central,Residential,2025-06-23,966.08,22.84,207,Faulty,7.03
MTR00042,Central,Industrial,2025-02-08,215.69,52.8,284,Active,8.88
MTR00043,East,Industrial,2025-11-23,565.78,122.77,50,Faulty,12.11
MTR00044,North,Industrial,2025-10-31,96.47,82.81,299,Faulty,7.29
MTR00045,North,Industrial,2025-03-14,450.57,68.26,32,Faulty,6.28
MTR00046,West,Residential,2025-01-22,328.66,5.57,154,Faulty,7.93
MTR00047,West,Industrial,2025-05-09,270.21,125.25,78,Faulty,9.49
MTR00048,South,Industrial,2025-10-28,788.73,62.32,148,Faulty,8.61
MTR00049,South,Industrial,2025-06-13,1082.63,59.77,172,Active,3.72
MTR00050,West,Commercial,2025-12-16,989.94,90.58,13,Faulty,4.56
MTR00051,West,Commercial,2025-07-14,1119.6,124.92,107,Active,9.86
MTR00052,West,Industrial,2025-04-09,798.23,115.84,210,Faulty,9.03
MTR00053,North,Industrial,2025-04-08,148.54,11.91,109,Faulty,10.29
MTR00054,South,Industrial,2025-11-16,496.2,108.15,224,Active,4.56
MTR00055,Central,Industrial,2025-06-17,971.62,69.32,111,Faulty,8.15
MTR00056,West,Residential,2025-09-01,1180.15,101.71,227,Faulty,10.2
MTR00057,North,Industrial,2025-10-17,531.72,148.8,101,Faulty,3.99
MTR00058,East,Commercial,2025-01-13,938.33,65.4,120,Active,11.74
MTR00059,Central,Residential,2025-12-26,118.69,58.26,275,Active,12.32
MTR00060,South,Commercial,2025-05-24,93.83,106.57,237,Faulty,7.29
MTR00061,North,Commercial,2025-04-07,348.04,21.43,207,Active,4.95
MTR00062,East,Commercial,2025-11-29,731.53,30.8,250,Active,8.05
MTR00063,South,Commercial,2025-11-30,1110.63,27.86,205,Active,11.32
MTR00064,West,Commercial,2025-04-22,1126.12,82.65,9,Faulty,7.5
MTR00065,West,Industrial,2025-01-02,986.66,32.01,251,Faulty,5.92
MTR00066,East,Industrial,2025-07-19,688.31,17.61,1,Active,9.12
MTR00067,North,Commercial,2025-12-03,51.14,54.54,239,Active,5.01
MTR00068,North,Industrial,2025-12-13,958.83,13.71,202,Active,6.83
MTR00069,Central,Residential,2025-06-30,1105.62,148.92,122,Faulty,10.87
MTR00070,West,Residential,2025-04-25,767.76,54.99,244,Active,5.89
MTR00071,West,Residential,2025-12-20,544.73,73.78,146,Active,10.64
MTR00072,East,Industrial,2025-12-17,75.5,140.64,161,Faulty,4.65
MTR00073,East,Residential,2025-01-18,1126.86,99.87,180,Active,6.52
MTR00074,West,Commercial,2025-02-25,289.62,71.16,116,Active,8.51
MTR00075,North,Residential,2025-06-27,561.16,6.97,254,Active,3.99
MTR00076,North,Industrial,2025-08-18,855.64,101.41,45,Active,10.62
MTR00077,East,Residential,2025-01-31,689.44,118.66,48,Faulty,8.4
MTR00078,Central,Industrial,2025-06-18,1064.24,8.61,63,Faulty,9.29
MTR00079,West,Commercial,2025-04-08,151.4,110.55,113,Active,7.59
MTR00080,East,Industrial,2025-07-04,1131.65,122.21,13,Faulty,5.6
MTR00081,East,Commercial,2025-11-12,180.86,56.62,218,Active,5.97
MTR00082,East,Commercial,2025-08-17,821.89,42.49,259,Active,6.61
MTR00083,West,Industrial,2025-01-28,452.75,146.85,209,Faulty,4.82
MTR00084,South,Commercial,2025-02-10,168.98,55.57,293,Faulty,4.53
MTR00085,East,Commercial,2025-04-08,1088.71,66.21,260,Faulty,11.25
MTR00086,West,Commercial,2025-05-16,208.44,17.34,297,Faulty,11.57
MTR00087,East,Commercial,2025-08-21,695.19,134.57,27,Faulty,5.3
MTR00088,North,Residential,2025-07-07,580.23,72.78,165,Faulty,7.97
MTR00089,North,Commercial,2025-07-14,936.42,111.66,187,Active,11.65
MTR00090,West,Industrial,2025-07-18,749.65,87.58,77,Faulty,10.1
MTR00091,Central,Industrial,2025-03-12,851.96,100.32,128,Faulty,10.42
MTR00092,North,Residential,2025-11-05,165.85,144.26,213,Active,6.37
MTR00093,West,Industrial,2025-07-17,531.67,141.36,210,Faulty,10.46
MTR00094,Central,Industrial,2025-04-14,185.09,119.26,291,Faulty,5.48
MTR00095,East,Commercial,2025-12-31,693.59,93.59,166,Active,4.71
MTR00096,East,Industrial,2025-01-20,215.63,131.82,296,Faulty,8.28
MTR00097,North,Industrial,2025-03-07,534.94,146.06,46,Faulty,4.48
MTR00098,Central,Commercial,2025-07-22,908.92,115.42,157,Faulty,10.47
MTR00099,East,Residential,2025-05-29,839.14,93.45,46,Faulty,8.1
MTR00100,Central,Industrial,2025-03-04,65.95,104.04,101,Active,9.65
MTR00101,North,Industrial,2025-06-22,544.46,129.13,41,Active,10.09
MTR00102,East,Commercial,2025-11-27,185.26,33.83,75,Faulty,7.67
MTR00103,Central,Commercial,2025-02-18,237.76,39.28,12,Active,6.65
MTR00104,East,Commercial,2025-04-04,793.82,89.04,93,Active,12.27
MTR00105,East,Industrial,2025-10-04,386.08,46.17,27,Active,3.57
MTR00106,South,Industrial,2025-08-25,210.5,124.31,274,Active,5.85
MTR00107,Central,Industrial,2025-03-22,721.96,45.06,34,Active,5.26
MTR00108,North,Industrial,2025-06-13,922.23,131.27,205,Faulty,7.14
MTR00109,North,Commercial,2025-02-06,401.77,19.9,218,Active,10.62
MTR00110,South,Industrial,2025-01-19,587.4,25.69,278,Faulty,7.97
MTR00111,East,Industrial,2025-12-27,303.19,59.78,289,Faulty,8.53
MTR00112,West,Industrial,2025-12-14,933.44,15.16,169,Active,9.36
MTR00113,West,Commercial,2025-05-25,408.27,98.15,144,Active,4.28
MTR00114,East,Commercial,2025-05-01,194.43,129.78,275,Active,6.12
MTR00115,North,Residential,2025-12-14,109.17,31.17,20,Faulty,6.54
MTR00116,North,Commercial,2025-10-28,110.03,97.98,134,Faulty,4.42
MTR00117,East,Industrial,2025-06-28,582.52,110.13,198,Faulty,7.9
MTR00118,North,Residential,2025-12-24,961.44,21.4,34,Active,12.33
MTR00119,Central,Commercial,2025-01-01,717.08,145.32,215,Active,11.06
MTR00120,East,Residential,2025-11-04,645.76,44.8,113,Faulty,11.32
MTR00121,Central,Industrial,2025-08-15,486.25,117.3,194,Faulty,7.64
MTR00122,East,Industrial,2025-10-19,1101.71,132.88,215,Faulty,7.81
MTR00123,Central,Industrial,2025-10-11,219.22,86.61,157,Active,7.48
MTR00124,South,Residential,2025-08-01,623.24,49.27,279,Active,10.59
MTR00125,South,Commercial,2025-06-05,840.29,140.77,173,Active,10.42
MTR00126,North,Residential,2025-11-29,471.44,51.43,147,Faulty,5.39
MTR00127,Central,Residential,2025-08-06,1088.71,37.99,3,Faulty,8.67
MTR00128,South,Industrial,2025-10-02,543.24,22.52,279,Active,7.79
MTR00129,North,Industrial,2025-05-26,898.62,78.77,279,Faulty,5.56
MTR00130,South,Industrial,2025-05-29,360.68,102.84,190,Active,10.59
MTR00131,East,Residential,2025-09-02,729.1,83.5,186,Faulty,10.05
MTR00132,West,Industrial,2025-09-12,387.15,55.19,35,Faulty,6.3
MTR00133,West,Commercial,2025-08-19,355.19,130.87,276,Faulty,9.26
MTR00134,South,Industrial,2025-01-29,300.02,82.04,196,Faulty,5.99
MTR00135,East,Commercial,2025-05-14,127.47,121.19,17,Active,10.41
MTR00136,Central,Industrial,2025-05-12,615.37,68.65,25,Active,6.37
MTR00137,West,Commercial,2025-03-05,1042.13,25.4,156,Active,4.98
MTR00138,East,Residential,2025-12-20,1124.29,146.26,271,Faulty,7.35
MTR00139,East,Commercial,2025-10-24,557.49,28.92,37,Faulty,9.88
MTR00140,North,Residential,2025-04-15,307.92,146.96,40,Faulty,9.17
MTR00141,West,Industrial,2025-11-01,808.31,80.35,14,Faulty,7.65
MTR00142,Central,Commercial,2025-01-19,713.72,124.39,110,Active,3.9
MTR00143,West,Commercial,2025-07-07,708.47,101.55,232,Active,8.53
MTR00144,South,Industrial,2025-06-20,641.25,31.16,139,Faulty,9.15
MTR00145,Central,Residential,2025-10-15,1075.52,62.41,204,Active,4.91
MTR00146,South,Industrial,2025-04-15,511.89,38.85,238,Faulty,8.16
MTR00147,South,Residential,2025-03-01,992.06,97.6,158,Faulty,4.04
MTR00148,Central,Commercial,2025-11-02,702.86,60.19,270,Faulty,9.26
MTR00149,Central,Residential,2025-01-29,961.85,130.83,222,Active,8.43
MTR00150,East,Residential,2025-08-03,823.96,18.32,46,Active,9.66
MTR00151,East,Industrial,2025-07-22,1072.8,91.77,278,Active,5.74
MTR00152,East,Residential,2025-03-09,188.63,25.15,1,Active,11.64
MTR00153,South,Residential,2025-03-08,805.43,89.46,112,Faulty,6.18
MTR00154,Central,Commercial,2025-11-16,240.85,7.83,138,Active,8.19
MTR00155,West,Commercial,2025-04-29,411.99,136.96,218,Active,4.38
MTR00156,South,Commercial,2025-07-05,938.95,145.26,277,Faulty,4.27
MTR00157,West,Industrial,2025-12-07,999.32,86.88,254,Active,9.85
MTR00158,Central,Commercial,2025-02-26,133.04,109.11,124,Faulty,6.98
MTR00159,West,Industrial,2025-11-08,73.14,87.68,62,Active,9.01
MTR00160,South,Residential,2025-03-19,455.39,82.71,69,Active,9.47
MTR00161,East,Industrial,2025-01-30,487.39,105.87,77,Active,9.77
MTR00162,South,Commercial,2025-10-02,1179.84,16.74,10,Active,9.34
MTR00163,South,Residential,2025-07-11,303.67,104.68,163,Faulty,4.67
MTR00164,East,Commercial,2025-07-20,231.2,42.4,236,Active,8.33
MTR00165,West,Commercial,2025-11-03,768.96,102.17,208,Faulty,5.94
MTR00166,West,Industrial,2025-08-08,872.2,48.84,51,Active,11.8
MTR00167,West,Residential,2025-06-23,1051.39,8.88,130,Active,9.22
MTR00168,Central,Residential,2025-02-12,994.99,88.53,90,Active,11.49
MTR00169,South,Commercial,2025-07-19,599.22,5.87,218,Faulty,7.48
MTR00170,East,Residential,2025-01-16,1066.93,123.13,206,Active,11.68
MTR00171,West,Residential,2025-12-14,484.3,79.2,258,Faulty,8.79
MTR00172,West,Industrial,2025-10-17,688.81,28.83,156,Faulty,11.98
MTR00173,West,Industrial,2025-01-22,346.41,40.41,71,Faulty,6.92
MTR00174,Central,Residential,2025-06-21,780.68,25.53,65,Faulty,10.22
MTR00175,Central,Industrial,2025-02-11,763.83,44.4,163,Faulty,12.06
MTR00176,West,Industrial,2025-11-26,649.61,15.91,73,Active,9.87
MTR00177,South,Industrial,2025-08-30,907.31,78.01,163,Active,5.91
MTR00178,West,Industrial,2025-12-08,970.84,13.27,216,Active,4.92
MTR00179,Central,Residential,2025-02-03,873.54,127.96,16,Faulty,11.85
MTR00180,East,Residential,2025-02-06,830.16,121.33,187,Active,10.9
MTR00181,East,Residential,2025-07-26,460.33,63.04,116,Faulty,8.35
MTR00182,East,Commercial,2025-07-16,475.67,20.86,51,Active,6.25
MTR00183,East,Commercial,2025-02-18,993.27,36.51,74,Faulty,6.5
MTR00184,Central,Industrial,2025-07-30,78.77,40.77,264,Faulty,9.96
MTR00185,Central,Commercial,2025-06-27,707.76,83.02,225,Active,5.45
MTR00186,West,Industrial,2025-11-20,490.06,39.92,97,Faulty,7.2
MTR00187,East,Industrial,2025-08-20,618.68,149.7,124,Active,10.77
MTR00188,East,Commercial,2025-09-26,519.72,31.41,145,Faulty,5.49
MTR00189,South,Commercial,2025-06-02,563.17,139.89,196,Active,11.55
MTR00190,South,Commercial,2025-05-26,124.87,123.36,223,Active,4.78
MTR00191,East,Industrial,2025-10-10,190.77,61.1,287,Active,10.8
MTR00192,East,Residential,2025-01-21,517.99,100.1,109,Faulty,6.17
MTR00193,North,Commercial,2025-01-08,1135.92,121.26,191,Faulty,11.35
MTR00194,Central,Commercial,2025-01-26,612.28,5.67,240,Active,10.13
MTR00195,North,Industrial,2025-11-18,1046.77,125.37,169,Active,12.22
MTR00196,North,Residential,2025-01-15,440.53,134.63,71,Faulty,10.56
MTR00197,Central,Industrial,2025-04-02,175.7,79.23,101,Faulty,5.0
MTR00198,North,Industrial,2025-01-12,539.92,132.89,141,Active,11.2
MTR00199,South,Commercial,2025-09-15,465.42,81.95,47,Active,10.94
MTR00200,West,Commercial,2025-12-11,819.01,143.43,251,Active,11.48
MTR00201,North,Industrial,2025-03-24,455.13,77.18,185,Active,6.18
MTR00202,South,Residential,2025-11-22,759.46,61.8,243,Faulty,11.23
MTR00203,West,Commercial,2025-01-25,691.43,73.9,195,Active,10.65
MTR00204,South,Commercial,2025-02-28,461.05,10.97,240,Faulty,3.53
MTR00205,Central,Residential,2025-04-29,244.45,133.12,155,Faulty,4.31
MTR00206,North,Commercial,2025-05-20,368.04,36.64,9,Active,4.27
MTR00207,West,Commercial,2025-03-08,478.31,114.17,236,Active,9.97
MTR00208,East,Residential,2025-05-10,947.89,66.81,99,Faulty,5.43
MTR00209,South,Commercial,2025-06-25,287.05,137.68,136,Active,10.54
MTR00210,Central,Industrial,2025-01-12,842.48,137.91,39,Faulty,9.39
MTR00211,North,Industrial,2025-04-20,194.98,121.35,277,Faulty,10.4
MTR00212,South,Industrial,2025-07-15,784.13,35.32,53,Active,11.02
MTR00213,East,Commercial,2025-06-17,55.75,24.66,6,Faulty,8.24
MTR00214,East,Commercial,2025-09-27,414.84,67.83,14,Active,9.08
MTR00215,Central,Industrial,2025-08-09,78.02,67.78,285,Active,6.97
MTR00216,East,Commercial,2025-10-20,71.22,140.38,140,Faulty,4.26
MTR00217,East,Industrial,2025-05-09,1155.81,124.43,152,Faulty,10.59
MTR00218,East,Commercial,2025-01-29,861.95,104.11,282,Faulty,6.28
MTR00219,East,Residential,2025-02-11,57.92,29.05,130,Faulty,6.07
MTR00220,Central,Residential,2025-06-27,470.49,81.3,18,Active,5.66
MTR00221,Central,Residential,2025-02-16,55.82,29.97,108,Active,7.33
MTR00222,East,Residential,2025-09-30,269.67,148.81,227,Active,10.23
MTR00223,North,Industrial,2025-11-08,471.07,135.18,32,Active,5.44
MTR00224,South,Commercial,2025-09-06,957.37,109.71,137,Active,11.7
MTR00225,South,Industrial,2025-11-21,392.43,101.98,137,Active,7.7
MTR00226,North,Industrial,2025-04-20,634.8,7.82,91,Faulty,10.76
MTR00227,East,Residential,2025-11-27,330.25,29.89,243,Faulty,11.59
MTR00228,North,Industrial,2025-02-03,124.96,78.81,13,Active,10.54
MTR00229,West,Residential,2025-07-29,441.26,23.28,86,Active,10.76
MTR00230,South,Commercial,2025-10-12,1081.06,95.04,218,Faulty,7.46
MTR00231,East,Residential,2025-08-13,780.87,138.54,141,Active,6.11
MTR00232,South,Residential,2025-02-09,918.46,84.41,84,Faulty,12.49
MTR00233,East,Residential,2025-12-22,161.93,67.88,11,Faulty,3.67
MTR00234,Central,Residential,2025-09-27,1005.16,131.13,238,Active,7.73
MTR00235,East,Industrial,2025-12-02,1127.32,76.46,23,Active,9.52
MTR00236,North,Commercial,2025-06-16,435.95,24.35,2,Faulty,7.12
MTR00237,Central,Industrial,2025-12-21,1077.27,100.15,237,Faulty,5.73
MTR00238,South,Commercial,2025-07-01,665.2,92.19,282,Active,6.08
MTR00239,East,Residential,2025-12-15,158.55,56.72,179,Active,11.18
MTR00240,East,Industrial,2025-02-19,145.34,89.56,197,Faulty,8.7
MTR00241,South,Commercial,2025-04-17,351.22,51.19,129,Active,11.05
MTR00242,West,Commercial,2025-10-03,690.97,121.39,5,Faulty,7.95
MTR00243,South,Residential,2025-01-10,1031.25,133.13,202,Active,10.48
MTR00244,South,Commercial,2025-06-07,148.37,19.11,153,Active,6.9
MTR00245,South,Commercial,2025-06-14,804.64,22.97,30,Active,9.95
MTR00246,Central,Commercial,2025-01-15,142.09,135.89,128,Faulty,9.27
MTR00247,East,Industrial,2025-01-28,621.49,109.98,10,Faulty,11.43
MTR00248,West,Industrial,2025-11-24,689.52,76.27,249,Faulty,6.67
MTR00249,East,Industrial,2025-02-15,1170.18,108.43,171,Active,7.54
MTR00250,South,Industrial,2025-03-30,193.99,136.5,54,Active,4.23
MTR00251,Central,Industrial,2025-10-09,1163.97,19.56,239,Faulty,4.28
MTR00252,North,Industrial,2025-07-16,1042.73,97.44,209,Active,7.19
MTR00253,North,Industrial,2025-03-02,919.44,86.71,84,Faulty,6.78
MTR00254,East,Industrial,2025-01-03,361.62,12.25,91,Faulty,9.58
MTR00255,North,Industrial,2025-06-12,735.8,21.08,204,Active,10.1
MTR00256,East,Industrial,2025-10-01,682.12,136.81,71,Faulty,5.49
MTR00257,Central,Residential,2025-11-01,557.5,117.36,172,Faulty,11.02
MTR00258,East,Residential,2025-08-19,691.23,83.18,247,Active,10.34
MTR00259,North,Commercial,2025-09-14,504.72,24.39,63,Faulty,8.2
MTR00260,South,Commercial,2025-09-20,87.76,120.16,228,Active,10.81
MTR00261,East,Residential,2025-11-25,987.86,102.88,33,Faulty,5.6
MTR00262,Central,Commercial,2025-09-08,1032.43,50.57,82,Active,8.04
MTR00263,East,Residential,2025-02-23,78.64,54.79,264,Active,9.64
MTR00264,North,Commercial,2025-08-24,786.68,46.29,145,Active,9.29
MTR00265,East,Industrial,2025-11-11,344.34,9.22,26,Faulty,11.45
MTR00266,North,Residential,2025-03-09,448.17,51.28,284,Active,4.21
MTR00267,North,Commercial,2025-12-27,612.3,24.73,298,Active,7.84
MTR00268,North,Commercial,2025-11-18,1168.89,84.76,160,Active,6.28
MTR00269,West,Residential,2025-10-05,916.0,65.15,140,Active,7.08
MTR00270,East,Commercial,2025-08-31,1083.35,91.38,224,Active,4.69
MTR00271,South,Residential,2025-02-09,114.58,76.85,94,Faulty,6.0
MTR00272,Central,Residential,2025-12-07,530.41,90.04,233,Active,5.48
MTR00273,East,Residential,2025-06-13,227.05,144.95,113,Active,6.21
MTR00274,South,Commercial,2025-06-19,347.58,128.58,208,Active,12.15
MTR00275,South,Commercial,2025-10-02,1023.96,146.77,16,Faulty,8.64
MTR00276,West,Industrial,2025-06-01,431.3,98.93,169,Active,9.23
MTR00277,North,Residential,2025-09-13,436.03,38.89,136,Active,10.99
MTR00278,East,Industrial,2025-10-14,391.65,5.34,176,Active,11.6
MTR00279,East,Commercial,2025-08-10,69.37,74.81,216,Active,4.0
MTR00280,North,Industrial,2025-11-18,739.65,50.08,165,Active,9.24
MTR00281,East,Industrial,2025-10-26,710.07,12.4,155,Faulty,10.43
MTR00282,South,Industrial,2025-03-29,239.49,81.71,247,Faulty,11.39
MTR00283,Central,Commercial,2025-12-03,791.77,136.23,269,Faulty,7.76
MTR00284,West,Residential,2025-09-19,751.72,33.5,111,Faulty,5.19
MTR00285,North,Residential,2025-06-08,927.29,14.12,217,Active,11.03
MTR00286,North,Residential,2025-11-15,1189.37,143.93,281,Active,10.27
MTR00287,Central,Residential,2025-02-22,362.1,54.18,115,Faulty,7.37
MTR00288,North,Residential,2025-10-12,231.17,56.9,254,Active,4.2
MTR00289,West,Commercial,2025-01-01,1155.73,13.9,149,Faulty,8.8
MTR00290,Central,Residential,2025-04-09,296.01,69.52,10,Active,3.91
MTR00291,South,Industrial,2025-03-03,54.66,38.14,104,Faulty,4.54
MTR00292,West,Industrial,2025-07-07,999.96,15.06,101,Faulty,4.73
MTR00293,West,Industrial,2025-10-12,1060.04,52.72,85,Active,7.33
MTR00294,Central,Commercial,2025-12-14,629.41,38.79,169,Faulty,6.78
MTR00295,South,Industrial,2025-07-29,83.59,104.25,150,Faulty,7.04
MTR00296,South,Residential,2025-11-09,887.32,51.6,64,Faulty,4.39
MTR00297,West,Industrial,2025-03-12,870.32,128.42,216,Faulty,10.68
MTR00298,West,Residential,2025-04-17,768.44,71.89,62,Active,3.69
MTR00299,South,Commercial,2025-11-09,999.99,110.6,117,Active,4.5
MTR00300,East,Commercial,2025-02-25,1117.81,91.39,42,Active,4.5
MTR00301,South,Residential,2025-12-28,310.58,125.3,154,Faulty,4.99
MTR00302,East,Residential,2025-01-25,286.58,142.61,147,Faulty,6.42
MTR00303,West,Commercial,2025-11-03,223.01,143.4,140,Faulty,4.74
MTR00304,South,Commercial,2025-08-16,471.78,38.95,254,Active,11.48
MTR00305,West,Residential,2025-10-16,519.14,36.91,142,Faulty,8.07
MTR00306,West,Commercial,2025-06-05,1178.3,41.04,42,Active,7.14
MTR00307,West,Industrial,2025-06-29,110.2,61.97,280,Faulty,10.53
MTR00308,East,Industrial,2025-02-10,641.17,61.43,86,Active,6.75
MTR00309,East,Commercial,2025-01-01,1113.56,12.35,57,Active,12.32
MTR00310,Central,Industrial,2025-05-20,1168.05,35.86,210,Faulty,4.77
MTR00311,West,Residential,2025-11-14,774.66,61.01,282,Faulty,4.84
MTR00312,East,Commercial,2025-06-22,1015.28,28.75,160,Active,5.96
MTR00313,North,Commercial,2025-06-12,801.81,54.2,103,Active,6.96
MTR00314,East,Commercial,2025-08-03,547.33,17.21,172,Active,11.8
MTR00315,South,Residential,2025-08-16,942.65,129.63,209,Active,10.67
MTR00316,West,Industrial,2025-08-22,1191.77,46.79,181,Active,10.76
MTR00317,West,Industrial,2025-02-16,239.65,17.55,11,Active,8.65
MTR00318,East,Industrial,2025-10-19,869.91,96.8,78,Active,6.0
MTR00319,Central,Residential,2025-07-27,1185.19,63.13,21,Active,3.71
MTR00320,West,Residential,2025-03-09,649.47,13.96,226,Faulty,11.93
MTR00321,East,Residential,2025-04-05,884.65,55.03,53,Faulty,4.17
MTR00322,North,Industrial,2025-04-28,486.52,123.12,0,Faulty,11.59
MTR00323,East,Residential,2025-10-16,176.66,133.26,97,Faulty,11.04
MTR00324,North,Commercial,2025-02-03,601.05,142.89,293,Active,7.88
MTR00325,South,Commercial,2025-09-26,358.97,104.69,75,Active,12.06
MTR00326,West,Residential,2025-12-19,290.05,112.75,73,Faulty,9.95
MTR00327,West,Industrial,2025-08-09,1019.33,95.97,15,Faulty,7.51
MTR00328,South,Commercial,2025-03-18,248.05,72.7,11,Faulty,6.08
MTR00329,South,Residential,2025-04-10,172.4,97.13,118,Faulty,10.01
MTR00330,East,Residential,2025-08-21,1119.47,65.72,103,Faulty,11.29
MTR00331,North,Commercial,2025-04-05,129.91,91.86,41,Faulty,6.06
MTR00332,North,Industrial,2025-05-02,383.83,15.05,6,Active,8.94
MTR00333,Central,Industrial,2025-07-04,659.66,75.6,236,Active,4.24
MTR00334,South,Residential,2025-07-24,1167.21,131.47,115,Active,7.68
MTR00335,Central,Commercial,2025-05-27,102.39,94.45,174,Active,10.95
MTR00336,South,Industrial,2025-06-29,843.94,31.04,218,Active,11.22
MTR00337,East,Commercial,2025-06-25,772.56,147.96,285,Active,8.63
MTR00338,North,Residential,2025-12-16,955.49,60.17,32,Faulty,4.88
MTR00339,West,Commercial,2025-07-04,575.73,128.1,34,Faulty,10.01
MTR00340,West,Commercial,2025-05-06,529.44,88.55,140,Faulty,4.79
MTR00341,Central,Commercial,2025-09-07,524.16,90.02,32,Active,7.56
MTR00342,North,Industrial,2025-12-10,233.77,55.69,289,Active,11.76
MTR00343,Central,Industrial,2025-03-17,932.02,137.49,158,Faulty,6.27
MTR00344,North,Commercial,2025-04-27,797.27,66.24,276,Active,9.69
MTR00345,West,Industrial,2025-02-22,624.22,36.7,296,Faulty,11.33
MTR00346,Central,Commercial,2025-09-21,580.17,137.98,25,Faulty,11.03
MTR00347,North,Residential,2025-02-12,930.37,5.32,21,Faulty,10.45
MTR00348,East,Industrial,2025-04-10,803.25,50.62,33,Active,6.67
MTR00349,North,Industrial,2025-09-02,1140.32,35.11,102,Active,9.08
MTR00350,North,Residential,2025-12-09,490.49,50.88,104,Active,7.95
MTR00351,North,Industrial,2025-11-02,1110.36,20.9,22,Faulty,11.91
MTR00352,West,Residential,2025-10-29,1028.08,16.97,1,Active,3.61
MTR00353,South,Residential,2025-02-01,903.37,79.27,86,Faulty,9.87
MTR00354,East,Commercial,2025-12-21,365.69,121.58,263,Active,7.12
MTR00355,Central,Commercial,2025-11-21,561.11,76.38,72,Active,3.51
MTR00356,North,Industrial,2025-07-01,1186.35,114.48,128,Active,9.81
MTR00357,North,Industrial,2025-10-27,149.94,123.42,46,Faulty,11.87
MTR00358,West,Residential,2025-07-11,313.49,39.44,77,Faulty,5.88
MTR00359,North,Industrial,2025-04-02,344.81,90.98,81,Faulty,4.49
MTR00360,East,Residential,2025-06-04,367.52,50.48,288,Active,9.06
MTR00361,North,Residential,2025-10-09,832.7,12.36,126,Active,7.16
MTR00362,North,Residential,2025-07-03,506.04,129.88,19,Active,9.7
MTR00363,South,Industrial,2025-11-02,451.04,106.14,220,Faulty,11.93
MTR00364,West,Commercial,2025-04-08,61.05,117.76,154,Active,8.91
MTR00365,West,Commercial,2025-04-21,144.24,64.97,184,Faulty,6.37
